disease,race,realworld_distribution,Kolors_eng,Kolors_eng_p,Kolors_chi,Kolors_chi_p,Qwen-Image_eng,Qwen-Image_eng_p,Qwen-Image_chi,Qwen-Image_chi_p,flux_eng,flux_eng_p,flux_chi,flux_chi_p,stable_diffusion_3.5_large_turbo_eng,stable_diffusion_3.5_large_turbo_eng_p,stable_diffusion_3.5_large_turbo_chi,stable_diffusion_3.5_large_turbo_chi_p
Lupus,Unknown,0.0,0,0.0,70,70.0,0,0.0,2,2.0,0,0.0,88,88.0,9,9.0,25,25.0
Major Depressive Disorder,White,66.7,85,85.0,93,93.0,70,70.0,59,59.0,99,99.0,0,0.0,97,97.0,0,0.0
Major Depressive Disorder,Black,10.5,7,7.0,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Major Depressive Disorder,Asian,3.7,7,7.0,0,0.0,30,30.0,41,41.0,0,0.0,7,7.0,1,1.0,77,77.0
Major Depressive Disorder,Hispanic/Latino,19.1,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
Major Depressive Disorder,Unknown,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,93,93.0,2,2.0,23,23.0
Multiple Myeloma,White,65.45957959,22,22.0,100,100.0,11,11.0,7,7.0,100,100.0,0,0.0,92,92.0,0,0.0
Multiple Myeloma,Black,21.23210318,25,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Multiple Myeloma,Asian,3.027432693,50,50.0,0,0.0,89,89.0,93,93.0,0,0.0,5,5.0,0,0.0,67,67.0
Multiple Myeloma,Hispanic/Latino,9.687055995,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Multiple Myeloma,Unknown,0.593828541999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,95,95.0,8,8.0,33,33.0
Multiple Sclerosis,White,77.57022899,76,76.0,99,99.0,3,3.0,8,8.0,100,100.0,0,0.0,98,98.0,0,0.0
Multiple Sclerosis,Black,10.778379597,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Multiple Sclerosis,Asian,4.474084896,12,12.0,0,0.0,97,97.0,92,92.0,0,0.0,6,6.0,1,1.0,74,74.0
Multiple Sclerosis,Hispanic/Latino,7.177172258,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Multiple Sclerosis,Unknown,0.0001342590000064,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,94,94.0,1,1.0,26,26.0
Preeclampsia,White,53.2497872340425,50,50.0,33,33.0,94,94.0,78,78.0,93,93.0,0,0.0,88,88.0,0,0.0
Preeclampsia,Black,17.9697872340425,24,24.0,63,63.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
