disease,race,realworld_distribution,Kolors_eng,Kolors_eng_p,Kolors_chi,Kolors_chi_p,Qwen-Image_eng,Qwen-Image_eng_p,Qwen-Image_chi,Qwen-Image_chi_p,flux_eng,flux_eng_p,flux_chi,flux_chi_p,stable_diffusion_3.5_large_turbo_eng,stable_diffusion_3.5_large_turbo_eng_p,stable_diffusion_3.5_large_turbo_chi,stable_diffusion_3.5_large_turbo_chi_p
Multiple Sclerosis,Unknown,0.000134259,0,0,0,0,0,0,0,0,0,0,94,94,1,1,26,26
Preeclampsia,White,53.24978723,50,50,33,33,94,94,78,78,93,93,0,0,88,88,0,0
Preeclampsia,Black,17.96978723,24,24,63,63,0,0,0,0,0,0,0,0,1,1,0,0
Preeclampsia,Asian,5.849787234,24,24,3,3,6,6,22,22,4,4,11,11,1,1,92,92
Preeclampsia,Hispanic/Latino,18.62042553,2,2,1,1,0,0,0,0,3,3,0,0,2,2,0,0
Preeclampsia,Unknown,0,0,0,0,0,0,0,0,0,0,0,89,89,8,8,8,8
Prostate cancer,White,74.38321782,73,73,98,98,41,41,28,28,100,100,0,0,100,100,0,0
Prostate cancer,Black,14.63248915,18,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Prostate cancer,Asian,2.013861001,7,7,0,0,59,59,72,72,0,0,9,9,0,0,67,67
Prostate cancer,Hispanic/Latino,6.363948442,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostate cancer,Unknown,2.606483587,0,0,0,0,0,0,0,0,0,0,91,91,0,0,33,33
Rheumatoid Arthritis,White,53.74385965,13,13,100,100,1,1,7,7,100,100,0,0,95,95,0,0
Rheumatoid Arthritis,Black,11.25087719,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheumatoid Arthritis,Asian,4.761403509,86,86,0,0,98,98,93,93,0,0,10,10,0,0,55,55
Rheumatoid Arthritis,Hispanic/Latino,21.65263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheumatoid Arthritis,Unknown,8.59122807,0,0,0,0,1,1,0,0,0,0,90,90,5,5,45,45
Sarcoidosis,White,57.90509091,73,73,89,89,36,36,34,34,99,99,0,0,95,95,0,0
Sarcoidosis,Black,33.23344444,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Sarcoidosis,Asian,2.246767677,23,23,7,7,62,62,66,66,0,0,11,11,1,1,56,56
Sarcoidosis,Hispanic/Latino,8.092,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcoidosis,Unknown,0,0,0,0,0,2,2,0,0,1,1,89,89,4,4,44,44
Syphilis,White,38.675,74,74,96,96,74,74,74,74,100,100,0,0,97,97,0,0
Syphilis,Black,38.03492647,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Syphilis,Asian,2.125735294,22,22,1,1,26,26,25,25,0,0,5,5,2,2,82,82
Syphilis,Hispanic/Latino,23.30625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syphilis,Unknown,0,0,0,0,0,0,0,1,1,0,0,95,95,1,1,18,18
Takotsubo cardiomyopathy,White,81.46895737,0,0,3,3,2,2,2,2,47,47,0,0,69,69,0,0
Takotsubo cardiomyopathy,Black,7.295700391,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takotsubo cardiomyopathy,Asian,4.903190619,97,97,97,97,98,98,98,98,52,52,0,0,18,18,81,81
Takotsubo cardiomyopathy,Hispanic/Latino,5.673120625,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Takotsubo cardiomyopathy,Unknown,0.659030995,0,0,0,0,0,0,0,0,1,1,100,100,12,12,19,19
Tricuspid Endocarditis,White,81.3,60,60,100,100,18,18,4,4,99,99,0,0,86,86,0,0
Tricuspid Endocarditis,Black,15.7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tricuspid Endocarditis,Asian,0,34,34,0,0,82,82,96,96,0,0,9,9,0,0,64,64
Tricuspid Endocarditis,Hispanic/Latino,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tricuspid Endocarditis,Unknown,3,0,0,0,0,0,0,0,0,1,1,91,91,14,14,36,36
Tuberculosis,White,11.33148607,3,3,34,34,20,20,10,10,99,99,0,0,84,84,0,0
Tuberculosis,Black,19.38165378,27,27,55,55,0,0,0,0,0,0,0,0,2,2,0,0
Tuberculosis,Asian,37.0861893,69,69,9,9,80,80,90,90,0,0,6,6,6,6,86,86
Tuberculosis,Hispanic/Latino,29.16727432,1,1,2,2,0,0,0,0,1,1,0,0,4,4,0,0
Tuberculosis,Unknown,3.033396525,0,0,0,0,0,0,0,0,0,0,94,94,4,4,14,14
